Year	Code	File name prefix	Author	Work	Licence
1914	lb1629500	BergmanHj_KomedierIBergslagen_1914	Hjalmar Bergman	Komedier i Bergslagen. Två släkter	cc-by	
1914	lb1631307	BergerH_Films_1914	Henning Berger	Films	cc-by	
1911	lb1631311	BergerH_Paus_1911	Henning Berger	Paus. Noveller	cc-by	
1913	lb1631349	BergmanHj_Loewenhistorier_1913	Hjalmar Bergman	Loewenhistorier	cc-by	
1911	lb1632912	EngstromA_GenomMinaGuldbagadeGlasogon_1911	Albert Engström	Genom mina guldbågade glasögon	cc-by	
1914	lb1634369	HanssonO_TidensKvinnor_1914	Ola Hansson	Tidens kvinnor	cc-by	
1915	lb1634526	SernerG_StorhertigensFinanser_1915	Frank Heller	Storhertigens finanser. Roman	cc-by	
1913	lb1635818	KampeA_Fullblod_1913	Alfred Kämpe	Fullblod	cc-by	
1912	lb1635819	KampeA_Segrare_1912	Alfred Kämpe	Segrare	cc-by	
1911	lb1635820	KampeA_Vinddrivna_1911	Alfred Kämpe	Vinddrivna	cc-by	
1915	lb1635940	LandquistE_Suzanne_1915	Ellen Landquist	Suzanne	cc-by	
1911	lb1636574	LundegardA_DenStoraDagen_1911	Axel Lundegård	Den stora dagen	cc-by	
1911	lb1641669	WittO_DeSistaManniskorna_1911	Otto Witt	De sista människorna	cc-by	
1914	lb1641673	WittO_DenUnderbaraSpegeln_1914	Otto Witt	Den underbara spegeln	cc-by	
1912	lb1641687	WittO_Skapelsen_1912	Otto Witt	Skapelsen. Urtidsroman	cc-by	
1896	lb1643785	AgrellA_HemmaIJockmock_1896	Alfhild Agrell	Hemma i Jockmock. En skildring ur småstadslifvet sådan den är. Af Lovisa Petterkvist	cc-by	
1898	lb1643831	AngeredStrandbergH_DenNyaVarlden_1898	Hilma Angered Strandberg	Den nya världen	cc-by	
1900	lb1644023	BoreE_VildmarkensBarn_1900	Erik Bore	Vildmarkens barn. Skizzer från öfre Norrland	cc-by	
1896	lb1644392	GeijerstamG_KampenOmKarlek_1896	Gustaf af Geijerstam	Kampen om kärlek. Fyra noveller om äktenskap	cc-by	
1899	lb1644675	KerfveA_TillKlondyke_1899	Axel Kerfve	Till Klondyke! En svensk guldgräfvares öden	cc-by	
1897	lb1644998	MolinP_AdalensPoesi_1897	Petrus (Pelle) Molin	Ådalens Poesi. Efterlämnade skrifter af Pelle Molin. Utgifna och försedda med en lefnadsteckning öfver författaren af Gustaf af Geijerstam	cc-by	
1897	lb1645049	NermanG_Stockholm1950_1897	Gustaf Nerman	Stockholm 1950. En drömbild på Kalmar slott	cc-by	
1919	lb1648619	AgrellA_EnLappbok_1919	Alfhild Agrell	En lappbok	cc-by	
1898	lb1648620	AgrellA_Nordanfran1898_1898	Alfhild Agrell	Nordanfrån. Händelser berättade af Stig Stigson [1898]	cc-by	
1919	lb1649001	AnderssonD_DavidRammsArv_1919	Dan Andersson	David Ramms arv	cc-by	
1918	lb1650454	CarlbergF_ForRattfardighetsSkull_1918	Frigga Carlberg	För rättfärdighets skull	cc-by	
1917	lb1651771	FitinghoffL_Brittsommar_1917	Laura Fitinghoff	Brittsommar. Roman	cc-by	
1918	lb1654505	KrusenstjernaA_HelenasForstaKarlek_1918	Agnes von Krusenstjerna	Helenas första kärlek. En Stockholmsroman	cc-by	
1918	lb1656719	NyblomH_EnSagokrans_1918	Helena Nyblom	En sagokrans	cc-by	
1917	lb1660065	UddgrenG_SkugganSomStalHansSjal_1917	Gustaf Uddgren	Skuggan som stal hans själ. Skildring ur den internationella konstnärsbohêmen	cc-by	
1917	lb1660490	WahlenbergA_EnSpion_1917	Anna Wahlenberg	En spion. Stockholmsroman	cc-by	
1919	lb1661178	WagnerE_KvarteretOron_1919	Elin Wägner	Kvarteret Oron. En Stockholmshistoria	cc-by	
1898	lb1662369	AngeredStrandbergH_PaPrarien_1898	Hilma Angered Strandberg	På prärien	cc-by	
1899	lb1662766	ElkanS_JohnHall_1899	Sophie Elkan	John Hall. En historia från det gamla Götheborg	cc-by	
1900	lb1662774	EnerothC_ManneMoberg_1900	Carl Eneroth	Manne Mobergs faror och äfventyr. Berättelse från Nordamerikanska inbördeskriget 	cc-by	
1900	lb1663229	LevertinO_MagistrarneI_1900	Oscar Levertin	Magistrarne i Österås	cc-by	
1898	lb1664084	SoderbergH_Historietter_1898	Hjalmar Söderberg	Historietter	cc-by	
1900	lb1664213	WahlenbergA_InteriorerSkisser_1900	Anna Wahlenberg	Interiörer. Skisser	cc-by	
1900	lb1664227	WallensteenN_FruMargret_1900	Nanna Wallensteen	Fru Margret. Roman ur lifvet	cc-by	
1840	lb1682545	CrusenstolpeMJ_MorianenForsta_1840	Magnus Jacob Crusenstolpe	Morianen, eller Holstein-Gottorpiska huset i Sverige. Tidsbilder, tecknade på fästningen. Första delen	cc-by	
1840	lb1682546	CrusenstolpeMJ_MorianenAndra_1840	Magnus Jacob Crusenstolpe	Morianen, eller Holstein-Gottorpiska huset i Sverige. Tidsbilder, tecknade på fästningen. Andra delen	cc-by	
1901	lb1719038	BergerH_DarUte_1901	Henning Berger	Där ute. Skisser	cc-by	
1902	lb1719336	LundegardA_ElsaFinne_1902	Axel Lundegård	Elsa Finne	cc-by	
1904	lb1721445	AgrellA_GudsDrommare_1904	Alfhild Agrell	Guds drömmare	cc-by	
1905	lb1728740	SoderbergH_DoktorGlas_1905	Hjalmar Söderberg	Doktor Glas. Roman	cc-by	
1897	lb1741593	BondesonA_SkollarareJohnChronschoughsmemoarer_1897	August Bondeson	Skollärare John Chronschoughs memoarer från uppväksttiden och seminarieåren. Till trycket befordrade af August Bondeson	cc-by	
1904	lb1741594	BondesonA_SkollarareJohnChronschoughsmemoarerNyfoljd_1904	August Bondeson	Skollärare John Chronschoughs memoarer. Ny följd: från hans första läraretid. Till trycket befordrade af August Bondeson	cc-by	
